"Time","Temp Avg","Temp Low","Temp High","Heat Index","Wind Chill","Temp (Day) Low","Temp (Day) High","Hum Avg","Hum Low","Hum High","Dew Point","Hum (Day) Low","Hum (Day) High","Baro Avg","Baro Low","Baro High","Baro (Day) Low","Baro (Day) High","Windspeed","Wind Direction","Gust","Gust Direction","Gust (Day) Max","Gust (Day) Direction","Leaf Wetness (Minutes)","Leaf Wetness (Day)","Solar Radiation Avg","Solar Radiation Sum (Interval)","Solar Radiation Sum (Day)","Interval Precip","Day Precip","Inside Temp Avg","Inside Temp Low","Inside Temp High","Inside Temp (Day) Low","Inside Temp (Day) High","Station Voltage","UV Index"
"2021-07-18 01:06:00","68.7","68.7","68.7","68.7","68.7","67.7","68.9","83","83","83","63.3","81","83","30.10","30.11","30.10","30.10","30.12","0.0","22","0.0","22","2.2","22",,,,,,"0.00","0.00","66.0","66.0","66.0","65.0","68.0","6.6",
"2021-07-18 01:07:00","68.7","68.7","68.7","68.7","68.7","67.7","68.9","83","83","83","63.3","81","83","30.10","30.10","30.10","30.10","30.12","0.3","22","1.6","22","2.2","22",,,,,,"0.00","0.00","66.0","66.0","66.0","65.0","68.0","6.6",
"2021-07-18 01:08:00","68.7","68.7","68.7","68.7","68.7","67.7","68.9","83","83","83","63.3","81","83","30.10","30.10","30.10","30.10","30.12","0.6","22","1.8","22","2.2","22",,,,,,"0.00","0.00","66.0","66.0","66.0","65.0","68.0","6.6",
"2021-07-18 01:09:00","68.6","68.5","68.7","68.6","68.6","67.7","68.9","83","83","83","63.2","81","83","30.10","30.10","30.10","30.10","30.12","0.2","22","1.3","22","2.2","22",,,,,,"0.00","0.00","66.0","66.0","66.0","65.0","68.0","6.6",
"2021-07-18 01:10:00","68.5","68.5","68.5","68.5","68.5","67.7","68.9","83","83","83","63.1","81","83","30.10","30.10","30.10","30.10","30.12","0.0","22","0.0","22","2.2","22",,,,,,"0.00","0.00","66.9","66.0","66.0","65.0","68.0","6.6",
"2021-07-18 01:11:00","68.5","68.5","68.5","68.5","68.5","67.7","68.9","83","83","83","63.1","81","83","30.10","30.10","30.10","30.10","30.12","0.0","22","0.0","22","2.2","22",,,,,,"0.00","0.00","67.0","67.0","67.0","65.0","68.0","6.6",
"2021-07-18 01:12:00","68.5","68.5","68.5","68.5","68.5","67.7","68.9","83","83","83","63.1","81","83","30.10","30.10","30.10","30.10","30.12","0.0","21","0.0","22","2.2","22",,,,,,"0.00","0.00","67.0","67.0","67.0","65.0","68.0","6.6",
"2021-07-18 01:13:00","68.5","68.5","68.5","68.5","68.5","67.7","68.9","83","83","83","63.1","81","83","30.10","30.10","30.10","30.10","30.12","0.0","360","0.0","22","2.2","22",,,,,,"0.00","0.00","67.0","67.0","67.0","65.0","68.0","6.6",
"2021-07-18 01:14:00","68.4","68.4","68.5","68.4","68.4","67.7","68.9","83","83","83","63.0","81","83","30.10","30.10","30.10","30.10","30.12","0.0","360","0.0","22","2.2","22",,,,,,"0.00","0.00","67.0","67.0","67.0","65.0","68.0","6.6",
"2021-07-18 01:15:00","68.4","68.4","68.4","68.4","68.4","67.7","68.9","83","83","84","63.0","81","84","30.10","30.10","30.10","30.10","30.12","0.0","360","0.0","22","2.2","22",,,,,,"0.00","0.00","67.0","67.0","67.0","65.0","68.0","6.6",
